,title,artist
0,As It Was,Harry Styles
1,First Class,Jack Harlow
2,Heat Waves,Glass Animals
3,Big Energy,Latto
4,Enemy,Imagine Dragons X JID
5,Stay,The Kid LAROI & Justin Bieber
6,Woman,Doja Cat
7,Ghost,Justin Bieber
8,Super Gremlin,Kodak Black
9,Thats What I Want,Lil Nas X
10,Bad Habits,Ed Sheeran
11,Shivers,Ed Sheeran
12,abcdefu,GAYLE
13,Cold Heart (PNAU Remix),Elton John & Dua Lipa
14,Thousand Miles,The Kid LAROI
15,Save Your Tears,The Weeknd & Ariana Grande
16,One Right Now,Post Malone & The Weeknd
17,Levitating,Dua Lipa
18,Need To Know,Doja Cat
19,MAMIII,Becky G X Karol G
20,Bam Bam,Camila Cabello Featuring Ed Sheeran
21,Industry Baby,Lil Nas X & Jack Harlow
22,'Til You Can't,Cody Johnson
23,Easy On Me,Adele
24,In A Minute,Lil Baby
25,Doin' This,Luke Combs
26,Wasted On You,Morgan Wallen
27,AA,Walker Hayes
28,Plan B,Megan Thee Stallion
29,Hrs And Hrs,Muni Long
30,Boyfriend,Dove Cameron
31,Sweetest Pie,Megan Thee Stallion & Dua Lipa
32,Trouble With A Heartbreak,Jason Aldean
33,Right On,Lil Baby
34,Good 4 U,Olivia Rodrigo
35,Provenza,Karol G
36,Numb Little Bug,Em Beihold
37,To The Moon!,JNR CHOI & Sam Tompkins
38,I Hate U,SZA
39,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast"
40,Never Say Never,Cole Swindell / Lainey Wilson
41,Don't Think Jesus,Morgan Wallen
42,You Right,Doja Cat & The Weeknd
43,Fingers Crossed,Lauren Spencer-Smith
44,Fancy Like,Walker Hayes
45,Sand In My Boots,Morgan Wallen
46,She's All I Wanna Be,Tate McRae
47,The Motto,Tiesto & Ava Max
48,What Happened To Virgil,Lil Durk Featuring Gunna
49,When You're Gone,Shawn Mendes
50,2step,Ed Sheeran Featuring Lil Baby
